"input","label","detection_score","detection_explain","TypoSquatting_URL","Shortened_URL","Punycode_URL","Unicode_URL","Hex_Encoded_URL","IP_Address_Unusual_Port_URL","Decimal_Hex_IP_URL","Data_URL","JavaScript_URL","File_URL","FTP_SFTP_URL","Blob_URL","Anchor_Fragment_Based_URL","Redirect_URL_Open_Redirect","Suspiciously_Long_Complex_URL","Fake_Subdomain_URL","Chrome_Internal_URL","Suspicious_TLD_URL","Tunneling_URLs_Proxy_Abuse","Mobile_AMP_URLs","HasExcessiveParams","HasRepeatedSubdomain","IsBrandImpersonation","IsDynamicQuery","IsGeoLocationSpecific","IsLanguageSpecific","IsObfuscatedURL","IsSessionBased","IsSuspiciousFileType","IsSuspiciousKeyword","IsMaliciousPattern","IsWebAppPath","Structural_Malformation_URL","Very_Short_URL","Non_Alpha_Start_URL","Cloud_Hosting_Abuse_URL","Credential_Harvesting_Form_URL","Multi_Redirect_Chain_URL","URL_Protection_Service_Abuse","Homoglyph_Domain_URL","DNS_Wildcard_Infinite_Subdomain","CAPTCHA_Shield_URL","Compromised_CMS_URL","QR_Code_Phishing_URL","Cryptocurrency_Scam_URL","Dynamic_DNS_URL","Embedded_Email_Target_URL","Subdomain_Depth_Abuse_URL","Digital_Publishing_Platform_Abuse","Lookalike_TLD_Swap_URL","Disposable_Email_Abuse_URL","Social_Engineering_Urgency_URL","IPFS_Decentralized_Hosting_URL","Telegram_Bot_URL","Non_English_Characters_URL","Nested_Encoding_Bypass_URL","Deep_Domain_Stacking_URL","Phishing_Bypass_Path_URL","Public_Document_Abuse_URL","Protocol_Keyword_Subdomain_URL"
"ptonline.com/knowledgecenter/power-quality-analysis-and-monitoring/","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"lazykat.fr","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"fujitsu-general.com/global/corporate/message/index.html","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"computershare.com/us/_vti_bin/spsdisco.aspx","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"freeflyvr.com","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"http://www.earthskyus.org/2018/update/security_update/index.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=abuse@ekush.com","1","17.0","LongComplex:entropy=5.05; ExcessiveParams:params=9; SuspiciousFile:.php; SuspiciousKeyword:security; StructuralMalformed:opaque_payload; ProtoSubdomain:keyword:www","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","True","False","False","False","False","False","False","False","True","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True"
"http://litopia21.com/morningform/file/update/14","1","2.0","SuspiciousKeyword:update","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"brainsync.com/brain-states/gamma.html","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"cslea.com","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"yournorthland.com","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"ci.mooresville.nc.us/FAQ.aspx","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"http://secure-admin-help-desk-center.sitey.me/","1","5.0","SuspiciousTLD:me; SuspiciousKeyword:secure","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"sheheroes.org","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"insideoutmusic.com/index.aspx","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"roosterteeth.com","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"http://hairblog.fr/wp-content/themes/fashionpress/fashionpress/images/png/ali/login.php?cmd=login_submit&amp;id=253802241da44eb4432ad43ad3ffa857253802241da44eb4432ad43ad3ffa857&amp;session=253802241da44eb4432ad43ad3ffa857253802241da44eb4432ad43ad3ffa857","1","29.0","LongComplex:entropy=4.66; SuspiciousTLD:fr; Obfuscated:base64_blob; SuspiciousFile:.php; SuspiciousKeyword:login; MaliciousPattern:cmd=; WebAppPath:login; StructuralMalformed:opaque_payload; CompromisedCMS:wp-content/themes+login.php","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","False","True","False","True","True","True","True","True","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"http://onefd.edu.dz.forexwinz.com/facebook/AR/","1","6.0","BrandImpersonation:facebook@forexwinz.com; LanguageSpecific:path=ar","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"http://apple-identifiant.com/","1","5.0","BrandImpersonation:apple@apple-identifiant.com","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"backbase.com/legal/","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"embroidme.com/news/embroidme-is-becoming-fully-promoted/","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"intermountainhealthcare.org/health-information/germwatch/","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
"tracyyoung.com","0","0.0","","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False","False"
