"input","label","primary_category","tld_risk"
"https://crm.antos.it/tmp/gs/","1","None","CONTEXTUAL"
"http://gospaconsulting.com/attachments/www3.internetbanking.caixa.gov.br/siibc/index.processa/cadastro.php","1","IsSuspiciousFileType","NORMAL"
"lejapon.fr","0","None","CONTEXTUAL"
"http://rivercrossestatehomestay.com/adobe1/adobe/Adobe.htm","1","None","NORMAL"
"cloud.mail.ru","0","None","HIGH"
"freeflyvr.com","0","None","NORMAL"
"sheheroes.org","0","None","NORMAL"
"cslea.com","0","None","NORMAL"
"computershare.com/us/_vti_bin/spsdisco.aspx","0","None","NORMAL"
"http://litopia21.com/morningform/file/update/14","1","IsSuspiciousKeyword","NORMAL"
"crazy88mma.com/locations/maryland/elkridge/","0","None","NORMAL"
"http://maishaera.agnesscott.org/dropbox/business-upload-secure-document/login/","1","Credential_Harvesting_Form_URL","NORMAL"
"embroidme.com/news/embroidme-is-becoming-fully-promoted/","0","None","NORMAL"
"http://apple-identifiant.com/","1","IsBrandImpersonation","NORMAL"
"insideoutmusic.com/index.aspx","0","None","NORMAL"
"shropshire.gov.uk/leisure-services/find-a-leisure-centre/","0","None","NORMAL"
"http://hairblog.fr/wp-content/themes/fashionpress/fashionpress/images/png/ali/login.php?cmd=login_submit&amp;id=253802241da44eb4432ad43ad3ffa857253802241da44eb4432ad43ad3ffa857&amp;session=253802241da44eb4432ad43ad3ffa857253802241da44eb4432ad43ad3ffa857","1","IsMaliciousPattern","CONTEXTUAL"
"yournorthland.com","0","None","NORMAL"
"justicedemocrats.com","0","None","NORMAL"
"http://lym-ultra.com/signin.accountverifications","1","IsWebAppPath","NORMAL"
"ptonline.com/knowledgecenter/power-quality-analysis-and-monitoring/","0","None","NORMAL"
"diariodocomercio.com.br","0","None","NORMAL"
"http://www.earthskyus.org/2018/update/security_update/index.php?rand=13InboxLightaspxn.1774256418&amp;fid.4.1252899642&amp;fid=1&amp;fav.1&amp;rand.13InboxLight.aspxn.1774256418&amp;fid.1252899642&amp;fid.1&amp;fav.1&amp;email=abuse@ekush.com","1","IsSuspiciousFileType","NORMAL"
"http://secure-admin-help-desk-center.sitey.me/","1","Suspicious_TLD_URL","CONTEXTUAL"
"sora-to-kasai.forums-actifs.com","0","None","NORMAL"
"whatsapp.com","0","None","NORMAL"
"tracyyoung.com","0","None","NORMAL"
"fujitsu-general.com/global/corporate/message/index.html","0","None","NORMAL"
"leeoskar.com","0","None","NORMAL"
"win-rar.com","0","None","NORMAL"
"ci.mooresville.nc.us/FAQ.aspx","0","None","NORMAL"
